id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,shell_humidity_weight
2026,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,0.11
2027,I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3,0.02
2028,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9,0.18
2029,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11,0.5
2030,F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,0.29
2031,M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11,0.45
2032,M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10,0.24
2033,I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11,0.19
2034,F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9,0.31
2035,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,0.07
2036,M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12,0.25
2037,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,0.01
2038,M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13,0.36
2039,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9,0.45
2040,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,0.08
2041,M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,0.22
2042,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10,0.35
2043,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9,0.22
2044,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,0.29
2045,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,0.04
2046,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15,0.47
2047,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10,0.32
2048,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5,0.03
2049,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12,0.19
2050,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9,0.19
2051,I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,6,0.14
2052,I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9,0.33
2053,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,0.11
2054,I,0.53,0.395,0.115,0.475,0.2025,0.101,0.148,8,0.12
2055,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7,0.07
2056,F,0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525,13,0.55
2057,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6,0.04
2058,F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9,0.5
2059,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13,0.63
2060,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,0.05
2061,F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10,0.32
2062,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7,0.08
2063,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,0.18
2064,M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9,0.23
2065,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,0.19
2066,M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,0.25
2067,M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,0.24
2068,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10,0.11
2069,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,0.01
2070,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,0.14
2071,F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8,0.18
2072,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9,0.19
2073,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6,0.09
2074,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,0.13
2075,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,0.05
2076,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,0.63
2077,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9,0.11
2078,I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9,0.07
2079,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18,0.16
2080,M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15,0.22
2081,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,0.04
2082,F,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11,0.61
2083,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7,0.05
2084,M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10,0.26
2085,I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5,0.08
2086,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12,0.17
2087,I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7,0.08
2088,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,0.34
2089,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7,0.03
2090,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17,0.4
2091,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13,0.24
2092,F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12,0.27
2093,I,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5,0.07
2094,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,0.29
2095,I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9,0.18
2096,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8,0.18
2097,M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,12,0.48
2098,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9,0.1
2099,F,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14,0.31
2100,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8,0.12
2101,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7,0.13
2102,F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,9,0.26
2103,M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10,0.32
2104,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12,0.85
2105,I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7,0.08
2106,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9,0.38
2107,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8,0.16
2108,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5,0.01
2109,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9,0.35
2110,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,0.29
2111,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,0.05
2112,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10,0.11
2113,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8,0.13
2114,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10,0.33
2115,I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6,0.04
2116,F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12,0.16
2117,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,0.04
2118,I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7,0.09
2119,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,0.25
2120,I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6,0.05
2121,M,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,11,0.33
2122,F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8,0.19
2123,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,0.32
2124,F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10,0.39
2125,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9,0.12
2126,I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,0.05
2127,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,0.27
2128,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,0.12
2129,F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10,0.32
2130,F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,0.15
2131,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7,0.11
2132,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7,0.09
2133,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8,0.33
2134,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10,0.41
2135,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9,0.17
2136,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,11,0.27
2137,F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10,0.16
2138,M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9,0.38
2139,M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9,0.23
2140,M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17,0.22
2141,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9,0.23
2142,F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9,0.3
2143,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7,0.04
2144,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10,0.33
2145,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,0.03
2146,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8,0.26
2147,F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11,0.33
2148,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,0.13
2149,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10,0.26
2150,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8,0.11
2151,I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11,0.23
2152,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10,0.26
2153,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8,0.0
2154,M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10,0.4
2155,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8,0.13
2156,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,0.36
2157,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7,0.1
2158,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,0.16
2159,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9,0.29
2160,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,0.63
2161,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6,0.03
2162,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10,0.13
2163,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,0.67
2164,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6,0.09
2165,F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9,0.35
2166,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12,0.85
2167,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,0.14
2168,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,0.25
2169,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11,0.44
2170,I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10,0.18
2171,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,0.37
2172,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,0.23
2173,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9,0.33
2174,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8,0.14
2175,M,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16,0.26
2176,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9,0.37
2177,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,0.32
2178,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9,0.16
2179,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,0.15
2180,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11,0.57
2181,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7,0.11
2182,F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9,0.35
2183,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,0.25
2184,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14,0.16
2185,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,0.02
2186,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,0.26
2187,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10,0.31
2188,I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7,0.16
2189,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9,0.16
2190,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8,0.16
2191,I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6,0.05
2192,F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18,0.37
2193,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10,0.26
2194,F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19,0.33
2195,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11,0.41
2196,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9,0.27
2197,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6,0.12
2198,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8,0.05
2199,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2,0.01
2200,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7,0.31
2201,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10,0.42
2202,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8,0.09
2203,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9,0.16
2204,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12,0.15
2205,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13,0.56
2206,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,0.14
2207,F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12,0.33
2208,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12,0.23
2209,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10,0.21
2210,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8,0.24
2211,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8,0.21
2212,F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17,0.27
2213,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,0.08
2214,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10,0.27
2215,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9,0.37
2216,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17,0.28
2217,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,0.3
2218,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20,0.5
2219,M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9,0.35
2220,M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8,0.22
2221,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20,0.3
2222,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,0.24
2223,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7,0.12
2224,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10,0.27
2225,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,0.18
2226,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,0.1
2227,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,0.26
2228,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11,0.14
2229,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,0.16
2230,F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9,0.31
2231,F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17,0.34
2232,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8,0.14
2233,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,0.08
2234,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,0.04
2235,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9,0.2
2236,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9,0.11
2237,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,0.05
2238,M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,11,0.29
2239,F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12,0.26
2240,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9,0.15
2241,F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11,0.34
2242,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5,0.03
2243,M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10,0.27
2244,I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8,0.15
2245,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7,0.11
2246,M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8,0.04
2247,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,0.08
2248,M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,9,0.35
2249,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19,0.53
2250,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8,0.23
2251,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,0.09
2252,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,0.27
2253,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,0.15
2254,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,0.33
2255,M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,0.24
2256,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8,0.16
2257,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10,0.34
2258,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,0.06
2259,I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7,0.06
2260,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,0.23
2261,F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11,0.5
2262,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,0.16
2263,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17,0.52
2264,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,0.04
2265,I,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5,0.03
2266,F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11,0.39
2267,F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9,0.17
2268,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7,0.08
2269,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,0.1
2270,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0.16
2271,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,0.39
2272,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,0.32
2273,I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8,0.2
2274,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,0.17
2275,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,0.59
2276,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,0.16
2277,I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5,0.07
2278,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10,0.19
2279,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,0.3
2280,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,0.37
2281,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,0.3
2282,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7,0.3
2283,M,0.735,0.57,0.21,2.2355,1.1705,0.463,0.5315,10,0.53
2284,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,0.07
2285,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11,0.42
2286,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,0.14
2287,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,0.22
2288,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8,0.08
2289,F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10,0.48
2290,F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10,0.18
2291,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9,0.28
2292,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,0.49
2293,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11,0.23
2294,M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17,0.33
2295,M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13,0.47
2296,M,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9,0.31
2297,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,0.19
2298,F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8,0.24
2299,M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10,0.23
2300,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9,0.2
2301,F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11,0.19
2302,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7,0.13
2303,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14,0.61
2304,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,0.1
2305,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6,0.09
2306,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6,0.02
2307,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8,0.29
2308,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,0.1
2309,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4,0.02
2310,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,0.23
2311,M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8,0.07
2312,M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11,0.12
2313,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,0.33
2314,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11,0.25
2315,M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9,0.33
2316,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8,0.28
2317,F,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13,0.24
2318,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,0.09
2319,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11,0.38
2320,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9,0.28
2321,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8,0.08
2322,I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9,0.16
2323,F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9,0.3
2324,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7,0.1
2325,M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17,0.39
2326,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,0.1
2327,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,0.4
2328,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,0.19
2329,F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12,0.3
2330,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,0.2
2331,F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6,0.29
2332,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,0.12
2333,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,0.12
2334,I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9,0.12
2335,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10,0.41
2336,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8,0.27
2337,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,0.32
2338,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,0.13
2339,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,0.19
2340,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8,0.11
2341,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18,0.48
2342,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3,0.01
2343,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11,0.35
2344,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7,0.05
2345,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,0.07
2346,I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8,0.04
2347,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,0.05
2348,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,0.09
2349,F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10,0.2
2350,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10,0.33
2351,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,0.09
2352,F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,12,0.26
2353,F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12,0.34
2354,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,0.04
2355,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10,0.36
2356,F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12,0.17
2357,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,0.14
2358,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8,0.22
2359,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7,0.06
2360,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7,0.09
2361,I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13,0.32
2362,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6,0.15
2363,F,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,13,0.42
2364,I,0.55,0.425,0.135,0.656,0.257,0.17,0.203,10,0.2
2365,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11,0.37
2366,F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9,0.07
2367,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,0.05
