id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
389,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
390,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8
391,I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
392,F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
393,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
394,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
395,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
396,I,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,9
397,I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
398,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
399,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
400,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
401,I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
402,I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
403,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
404,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
405,I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
406,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
407,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
408,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10
409,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
410,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
411,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
412,I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13
413,F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13
414,I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
415,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
416,I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
417,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
418,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
419,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
420,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
421,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
422,M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
423,I,0.47,0.375,0.105,0.441,0.167,0.0865,0.145,10
424,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
425,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
426,I,0.475,0.375,0.11,0.494,0.211,0.109,0.1545,8
427,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
428,F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
429,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
430,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
431,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
432,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
433,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
434,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
435,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
436,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
437,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
438,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
439,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
440,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
441,I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
442,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
443,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
444,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
445,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
446,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8
447,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
448,F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
449,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
450,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
451,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
452,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
453,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
454,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
455,F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
456,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
457,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13
458,I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
459,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
460,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
461,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
462,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
463,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
464,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
465,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
466,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
467,I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
468,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
469,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
470,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
471,I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
472,I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
473,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
474,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
475,F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
476,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
477,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
478,I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8
479,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
480,I,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10
481,I,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9
482,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
483,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
484,I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8
485,F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
486,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
487,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
488,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
489,I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
490,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
491,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
492,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7
493,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
494,F,0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
495,F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
496,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
497,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
498,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9
499,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
500,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
501,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
502,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
503,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
504,I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7
505,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
506,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
507,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
508,F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
509,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
510,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
511,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
512,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
513,F,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8
514,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
515,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
516,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
517,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
518,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
519,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
520,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
521,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
522,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
523,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
524,F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
525,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
526,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
527,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
528,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
529,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
530,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
531,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
532,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
533,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
534,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
535,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
536,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7
537,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
538,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
539,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
540,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
541,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
542,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
543,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
544,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
545,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
546,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
547,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
548,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
549,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
550,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
551,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
552,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
553,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
554,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
555,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
556,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
557,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
558,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
559,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
560,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
561,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
562,I,0.495,0.38,0.145,0.515,0.175,0.098,0.212,13
563,F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
564,I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
565,I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
566,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
567,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
568,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
569,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
570,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
571,I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
572,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
573,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
574,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
575,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
576,I,0.435,0.355,0.125,0.4075,0.1535,0.074,0.165,9
577,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
578,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
579,I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
580,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
581,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
582,M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10
583,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
584,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
585,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
586,I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
587,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
588,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
589,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
590,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
591,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
592,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
593,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
594,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
595,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
596,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
597,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
598,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
599,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
600,I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8
601,I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
602,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
603,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
604,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
605,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
606,I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
607,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
608,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
609,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
610,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
611,I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
612,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
613,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
614,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
615,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8
616,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
617,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
618,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
619,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
620,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
621,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
622,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
623,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
624,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
625,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
626,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
627,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
628,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
629,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
630,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
631,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
632,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
633,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
634,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
635,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
636,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
637,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,8
638,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
639,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8
640,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
641,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
642,M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,9
643,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
644,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
645,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
646,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
647,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
648,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
649,I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
650,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
651,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
652,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
653,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
654,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
655,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
656,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
657,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
658,F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
659,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
660,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
661,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
662,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
663,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
664,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
665,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
666,F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
667,F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
668,F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
669,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
670,I,0.485,0.375,0.13,0.5535,0.266,0.112,0.157,8
671,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
672,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
673,I,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
674,F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15
675,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
676,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
677,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
678,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
679,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
680,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
681,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
682,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
683,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
684,M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12
685,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
686,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13
687,I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
688,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
689,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
690,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
691,I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
692,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
693,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
694,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
695,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
696,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
697,I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7
698,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
699,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
700,I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
701,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
702,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
703,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
704,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
705,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
706,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
707,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
708,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
709,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
710,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
711,F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
712,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
713,I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
714,I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
715,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
716,F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
717,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
718,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
719,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
720,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
721,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
722,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8
723,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
724,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8
725,I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
726,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
727,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
728,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
729,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
730,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
731,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
732,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
733,M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
734,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
735,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
736,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
737,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
738,I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
739,I,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9
740,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
741,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
742,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
743,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
744,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
745,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
746,F,0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
747,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
748,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
749,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
750,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
751,F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7
752,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
753,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
754,F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
755,I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
756,M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
757,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
758,I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
759,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
760,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
761,M,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
762,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
763,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
764,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
765,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
766,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
767,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
768,I,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,8
769,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
770,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
771,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
772,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
773,I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
774,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
775,I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
776,F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11
777,I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
778,I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,10
